variant,label,train_end,valid_start,valid_end,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage
ablate_time_decay,Ablation: remove time decay,2023-07-18,2023-07-24,2023-10-13,0.7624521072796935,0.6785714285714286,0.6730523627075351,0.75,0.5714285714285714
ablate_time_decay,Ablation: remove time decay,2023-09-27,2023-10-16,2023-12-20,0.5111111111111111,0.4716981132075472,0.45158730158730154,0.5769230769230769,0.49056603773584906
ablate_time_decay,Ablation: remove time decay,2023-12-14,2023-12-22,2024-04-03,0.7392857142857143,0.6458333333333334,0.675,0.7,0.4166666666666667
ablate_time_decay,Ablation: remove time decay,2024-03-22,2024-04-08,2024-07-18,0.6774193548387097,0.6304347826086957,0.5709677419354839,0.68,0.5434782608695652
ablate_time_decay,Ablation: remove time decay,2024-07-08,2024-07-23,2024-11-20,0.6088888888888889,0.6222222222222222,0.5833333333333333,0.5833333333333334,0.5333333333333333
ablate_time_decay,Ablation: remove time decay,2024-10-22,2024-11-22,2025-03-20,0.6009615384615384,0.6666666666666666,0.5600961538461539,0.7037037037037037,0.6
ablate_time_decay,Ablation: remove time decay,2025-03-07,2025-03-21,2025-07-04,0.5194805194805194,0.5869565217391305,0.4792207792207792,0.6071428571428571,0.6086956521739131
ablate_recent_window,Ablation: full history window,2023-02-20,2023-02-28,2023-05-19,0.6868421052631579,0.6041666666666666,0.6763157894736842,0.6666666666666666,0.3125
ablate_recent_window,Ablation: full history window,2023-05-16,2023-05-22,2023-07-21,0.6328502415458936,0.6101694915254238,0.5706521739130435,0.7222222222222222,0.3050847457627119
ablate_recent_window,Ablation: full history window,2023-07-18,2023-07-24,2023-10-13,0.7611749680715199,0.75,0.7432950191570882,0.7419354838709677,0.5535714285714286
ablate_recent_window,Ablation: full history window,2023-09-27,2023-10-16,2023-12-20,0.5126984126984127,0.5094339622641509,0.4936507936507936,0.5416666666666666,0.4528301886792453
ablate_recent_window,Ablation: full history window,2023-12-14,2023-12-22,2024-04-03,0.7339285714285714,0.6666666666666666,0.7071428571428571,0.6666666666666666,0.375
ablate_recent_window,Ablation: full history window,2024-03-22,2024-04-08,2024-07-18,0.6537634408602151,0.6304347826086957,0.6397849462365591,0.6666666666666666,0.45652173913043476
ablate_recent_window,Ablation: full history window,2024-07-08,2024-07-23,2024-11-20,0.5577777777777777,0.6222222222222222,0.5833333333333333,0.5,0.4888888888888889
ablate_recent_window,Ablation: full history window,2024-10-22,2024-11-22,2025-03-20,0.6658653846153847,0.6666666666666666,0.6286057692307692,0.8,0.4444444444444444
ablate_recent_window,Ablation: full history window,2025-03-07,2025-03-21,2025-07-04,0.5272727272727273,0.5434782608695652,0.38831168831168833,0.6896551724137931,0.6304347826086957
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2023-02-20,2023-02-28,2023-05-19,0.6868421052631579,0.6041666666666666,0.6763157894736842,0.6666666666666666,0.3125
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2023-05-16,2023-05-22,2023-07-21,0.5990338164251208,0.6271186440677966,0.6002415458937198,0.6666666666666666,0.3050847457627119
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2023-07-18,2023-07-24,2023-10-13,0.7547892720306514,0.6785714285714286,0.6730523627075351,0.696969696969697,0.5892857142857143
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2023-09-27,2023-10-16,2023-12-20,0.5158730158730158,0.49056603773584906,0.4928571428571429,0.52,0.4716981132075472
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2023-12-14,2023-12-22,2024-04-03,0.7321428571428571,0.6458333333333334,0.6892857142857143,0.6470588235294118,0.3541666666666667
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2024-03-22,2024-04-08,2024-07-18,0.6731182795698925,0.6521739130434783,0.6387096774193548,0.7,0.43478260869565216
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2024-07-08,2024-07-23,2024-11-20,0.5733333333333334,0.6444444444444445,0.6166666666666667,0.5652173913043478,0.5111111111111111
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2024-10-22,2024-11-22,2025-03-20,0.6322115384615384,0.7111111111111111,0.6141826923076923,0.8148148148148148,0.6
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2025-03-07,2025-03-21,2025-07-04,0.522077922077922,0.5869565217391305,0.4168831168831169,0.6875,0.6956521739130435
